"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13490.0","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13526.8","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13557.0","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13581.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13605.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13627.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13490.0","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13526.8","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13557.0","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13581.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13605.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13627.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10615.6","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10642.0","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10664.3","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10681.1","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10697.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10711.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10615.6","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10642.0","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10664.3","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10681.1","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10697.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10711.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063970","7.1.1.2.1.1","2068.4","","","","1"
