"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13627.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13627.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10711.0","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10711.0","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","913.5","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1173.0","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11540.7","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11540.7","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6760.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6760.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5415.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5415.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","473.6","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","622.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5664.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5664.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063961","7.1.3.1.1.1","6867.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066040","7.1.3.1.1.2","6867.1","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581325","7.1.3.8.1.1","5295.7","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581326","7.1.3.8.1.2","5295.7","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066094","7.1.3.3.1.2","439.8","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066121","7.1.3.4.1.2","550.7","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064069","7.1.3.5.1.1","5876.5","","","","1"
"2025-01","Ontario","2021A000235","Population","Women+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066148","7.1.3.5.1.2","5876.5","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","8915.2","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066023","7.2.1.1.1.2","8817.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887580","7.2.1.1.2.1","33.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887581","7.2.1.1.3.1","21.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887582","7.2.1.1.4.1","40.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581327","7.2.1.8.1.1","8469.0","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581328","7.2.1.8.1.2","8368.1","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887583","7.2.1.8.2.1","31.2","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887584","7.2.1.8.3.1","22.5","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887585","7.2.1.8.4.1","39.2","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066077","7.2.1.3.1.2","363.1","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066104","7.2.1.4.1.2","823.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064052","7.2.1.5.1.1","7646.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066131","7.2.1.5.1.2","7631.0","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887589","7.2.1.5.2.1","26.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887590","7.2.1.5.3.1","17.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887591","7.2.1.5.4.1","32.7","","","","1"
